datetime,Qh,Qtau,Ustar,T_air,Rho_air,Wind_vel,Cd,qc_tot,qc_tot_ext
2023-12-27 15:00:00,-6.6,0.1668,0.3563705936241092,-4.3,1.3133858267716536,3.25,0.012023668639053254,1,1
2023-12-27 15:30:00,-4.22,0.129,0.3133687923198479,-4.39,1.313645621181263,2.88,0.011839313271604932,1,1
2023-12-27 16:00:00,-3.17,0.1051,0.282842712474619,-4.42,1.31375,2.96,0.009130752373995618,1,1
2023-12-27 16:30:00,-7.13,0.1131,0.2934280150224242,-4.41,1.313588850174216,2.88,0.010380497685185187,1,1
2023-12-27 17:00:00,-10.16,0.1483,0.3360059523282288,-4.34,1.3135518157661648,3.1,0.011748178980228922,1,1
2023-12-27 17:30:00,-10.95,0.12,0.3023243291566195,-4.3,1.312910284463895,3.09,0.00957258512164724,1,1
2023-12-27 18:00:00,-7.65,0.0985,0.273861278752583,-4.25,1.3133333333333337,2.82,0.009431115135053564,1,1
2023-12-27 18:30:00,-7.25,0.1243,0.3077336510685823,-4.26,1.3125659978880675,3.16,0.009483656465310042,1,1
2023-12-27 19:00:00,-8.57,0.2087,0.3987480407475377,-4.27,1.3125786163522013,3.27,0.014869679881042562,1,1
2023-12-27 19:30:00,-6.59,0.1193,0.3014962686336267,-4.23,1.3124312431243124,3.43,0.007726372514853504,1,1
2023-12-27 20:00:00,-12.0,0.2346,0.422729227756965,-4.22,1.3128147733631783,3.87,0.011931708163905746,1,1
2023-12-27 20:30:00,-10.56,0.0933,0.2664582518894845,-4.38,1.3140845070422538,3.48,0.005862729554762848,1,1
2023-12-27 21:00:00,-14.39,0.2028,0.3928103868280471,-4.57,1.3143227478937136,3.86,0.01035598271094526,1,1
2023-12-27 21:30:00,-7.53,0.2002,0.3901281840626232,-4.75,1.3153745072273326,3.15,0.015338876291257242,1,1
2023-12-27 22:00:00,-1.59,0.1115,0.2910326442171049,-4.9,1.3164108618654071,2.41,0.014583082247206478,1,1
2023-12-27 22:30:00,-6.87,0.0537,0.2019900987672415,-4.88,1.3161764705882353,2.77,0.005317415840164732,1,1
2023-12-27 23:00:00,-6.88,0.0382,0.170293863659264,-5.0,1.3172413793103446,3.6,0.002237654320987654,1,1
