datetime_utc,Qh,Qle,Qtau,Ustar,Rho_air,Wind_vel,Wind_U_std,Wind_V_std,Wind_W_std,Cd,qc_tot,qc_tot_noCd,qc_tot_ext,qc_tot_noCd_ext
2023-12-02 16:30:00,-43.72582259207501,-1.5644302719,0.0743933859088857,0.2424614,1.266531,1.719143,0.3930797,0.6913717,0.1309649,0.01989121037058875,1,1,1,1
2023-12-02 17:00:00,-2.5520397673718764,-0.3109635856999999,0.0127005905953665,0.1001229,1.268007,2.210575,0.2499554,0.2289626,0.1290945,0.0020514282511120436,1,1,1,1
2023-12-02 17:30:00,-3.442352098966055,0.09732581476,0.0041472053365472,0.05721093,1.268153,1.998725,0.2194977,0.1791358,0.07149557,0.0008193169239687666,1,1,1,1
2023-12-02 18:00:00,-12.676831428774042,0.12601698664,0.0190390241180125,0.1224581,1.270712,1.29794,0.2891648,0.4709936,0.09079671,0.008901553373281301,1,1,1,1
2023-12-02 18:30:00,-3.024205691415919,-0.11491702343,0.010042897912113,0.08896901,1.269912,1.399281,0.2760254,0.3559062,0.1100259,0.004042663949767435,1,1,1,1
2023-12-02 19:00:00,-8.404233234101023,0.06197107852,0.0067763881825234,0.0730611,1.270643,1.74733,0.3482554,0.2236858,0.09565499,0.0017483265243870816,1,1,1,1
2023-12-02 19:30:00,-2.5233297155034813,-0.019463734881,0.0034811253870533,0.05229288,1.274178,1.586492,0.2746225,0.231372,0.07762676,0.0010864490113295677,1,1,1,1
2023-12-02 20:00:00,6.563699064455545,0.0536824143799999,0.0092440517334013,0.08512052,1.276997,1.368585,0.2974893,0.1869979,0.0619586,0.0038683430831396516,1,1,1,1
2023-12-02 20:30:00,-7.727712314920799,0.06015295156,0.0039409481307689,0.0555192,1.279708,1.141559,0.3394046,0.2381412,0.1570401,0.0023653187495967245,1,1,1,1
2023-12-02 21:00:00,-13.491391213639798,2.939920498,0.0228832151294296,0.1337914,1.279558,1.402627,0.4850219,0.2693433,0.2259622,0.009098546253518474,1,1,1,1
